# Time-averaged data for fix fix_eqn_baro
# TimeStep c_C_press_baro c_C_press_baro[1] c_C_press_baro[2] c_C_press_baro[3] c_C_press_baro[4] c_C_press_baro[5] c_C_press_baro[6] c_C_temp_tran
126900 -560.971 -675.836 -575.495 -431.583 521.891 51.7426 -54.2599 0.972764
127000 -114.962 -502.082 -27.4706 184.667 -490.747 502.888 -198.304 1.01023
127100 -157.826 -167.024 -150.797 -155.657 -145.212 -20.7386 -106.575 1.01113
127200 105.302 -96.1999 250.09 162.015 -305.187 189.191 -77.986 1.00782
127300 -65.5442 -772.322 337.304 238.385 -115.734 -705.699 232.204 0.986542
127400 -29.5729 -557.82 565.463 -96.3609 215.092 435.475 -63.8724 1.00601
127500 -135.442 -988.027 590.718 -9.01837 -190.911 -271.31 122.411 0.992756
127600 -297.121 -839.319 -32.7168 -19.3273 432.277 139.121 13.6672 1.0135
127700 44.0707 -363.541 43.865 451.888 68.2693 -426.236 177.014 0.999932
127800 -309.628 -760.502 -20.8836 -147.499 143.19 656.982 -265.656 1.00095
127900 -252.22 -1035.48 -59.4789 338.299 347.969 -170.551 -252.395 1.00266
128000 -18.2798 -51.5788 -24.403 21.1424 -794.942 -11.5015 -314.801 1.01387
128100 -459.012 -979.941 141.333 -538.428 315.146 -537.397 -0.361962 1.01574
128200 -115.955 -219.567 -107.637 -20.6616 -102.547 262.405 287.103 1.01271
128300 -65.1166 -235.012 393.147 -353.485 -75.5688 -352.272 -396.893 0.998042
128400 -427.897 -625.123 -660.071 1.50399 255.138 -69.4512 485.144 1.00492
128500 7.62415 -223.151 111.731 134.293 226.199 345.852 -627.423 0.980395
128600 79.2208 -317.069 299.714 255.017 -123.972 5.28541 -203.966 0.992218
128700 -287.127 -498.241 -314.33 -48.8097 707.418 -330.411 -386.077 0.985108
128800 -240.402 -1191.17 65.5341 404.429 -439.32 97.1662 417.536 0.98577
128900 -299.492 -923.109 105.58 -80.9466 359.063 155.648 -140.497 1.00259
129000 -386.863 -781.576 35.7646 -414.776 372.252 346.808 673.454 0.982138
129100 -93.5735 -380.913 -274.799 374.991 137.477 -697.923 149.633 0.985757
129200 -6.84696 -278.349 647.875 -390.066 122.874 173.268 247.775 1.00335
129300 -224.979 -589.798 29.1015 -114.241 -108.662 -77.8644 376.917 1.00415
129400 -541.54 -1586.11 -62.6475 24.1425 -279.617 -99.1229 22.4507 0.985373
129500 -160.349 -284.608 -165.404 -31.0358 -26.3806 273.387 2.57871 1.00083
129600 -179.868 -699.67 -117.657 277.722 185.42 344.181 302.566 1.00002
129700 -24.4002 -830.793 242.048 515.544 -69.2694 172.318 -349.807 0.991598
129800 -356.439 -718.486 -215.634 -135.196 197.099 -465.796 479.198 1.00507
129900 -33.2689 -123.791 468.839 -444.855 98.5911 -44.2118 -151.082 1.00862
130000 -264.286 -497.106 413.201 -708.954 -344.071 828.919 185.566 1.0283
130100 -266.649 -1047.55 363.907 -116.3 -171.308 -1024.56 256.458 1.00872
130200 -344.811 -406.157 -246.91 -381.365 149.214 435.374 -175.545 0.9976
130300 -215.793 -762.393 -142.09 257.103 -435.511 -426.59 1224.3 1.0001
130400 -120.61 -834.748 -73.893 546.812 -173.381 746.101 -663.039 1.00414
130500 -316.35 -1113.63 383.158 -218.576 -545.106 -657.948 397.418 0.98842
130600 -201.367 -465.089 107.195 -246.207 365.725 537.23 -40.4025 1.0074
130700 -119.348 -817.489 -26.7003 486.145 -174.138 -298.993 135.288 0.991823
130800 -154.141 -560.443 84.0982 13.9229 25.2359 596.061 -160.724 0.993272
130900 -252.077 -399.55 -347.246 -9.43353 -60.264 -60.5223 -3.55342 0.999788
131000 -129.637 -884.504 433.656 61.9363 -340.919 -36.2839 -309.866 1.01582
131100 -152.391 -558.873 -87.2104 188.91 885.8 189.155 52.4565 1.01211
131200 -386.325 -641.882 -498.385 -18.7077 -488.355 -41.2374 10.1105 0.985249
131300 -234.516 -1029.48 150.747 175.183 78.7342 370.064 308.592 1.00223
131400 -374.35 -833.308 229.621 -519.363 -266.189 -91.4874 -415.923 0.999474
131500 13.8611 -715.08 413.094 343.569 233.436 508.933 33.9251 1.00732
131600 174.391 -148.44 553.691 117.92 -435.716 -469.878 82.5237 1.00374
131700 68.7071 -233.644 182.983 256.782 -90.325 664.003 -230.984 1.00048
131800 -286.705 -205.191 -65.5666 -589.357 302.061 -282.605 -115.658 1.00058
131900 99.5771 -230.193 -34.9432 563.867 -426.931 605.191 232.017 0.994915
132000 -331.007 -515.487 281.251 -758.783 -8.22276 -744.541 -89.5749 1.00799
132100 -100.411 110.783 -33.9014 -378.114 -143.36 332.404 -259.677 1.00795
132200 -369.79 -578.933 135.354 -665.791 461.633 -104.983 -119.55 0.984146
132300 -64.5819 -841.781 504.907 143.128 232.874 2.41215 16.7162 0.998278
132400 14.9275 -522.92 391.347 176.356 86.4014 507.594 223.189 1.00689
132500 -149.033 -691.725 47.0194 197.605 44.3775 -700.828 -65.8365 0.999045
132600 44.6216 -476.098 263.474 346.489 -198.473 759.183 118.066 0.993055
132700 -377.568 -701.872 -433.805 2.97478 -30.452 -717.697 -133.788 0.99633
132800 -328.533 -855.918 13.3745 -143.056 97.3439 457.861 -141.917 0.995392
132900 166.9 88.17 165.382 247.15 -12.359 -794.569 -226.308 0.987023
133000 -74.085 -451.191 159.235 69.7012 470.91 605.991 35.8172 0.989998
133100 -37.5078 -189.374 133.336 -56.4854 166.462 -308.96 -15.3239 1.00401
133200 -82.8316 -528.713 -233.636 513.854 -213.159 235.079 -146.152 1.0042
133300 -442.094 -1035.08 286.174 -577.376 -633.157 186.365 -390.906 1.00209
133400 -458.007 -928.792 -235.959 -209.271 -325.327 75.3368 -296.933 0.993198
133500 97.8342 -470.708 361.287 402.923 -232.525 774.669 42.9881 1.00313
133600 -75.3965 -762.645 512.473 23.9822 -179.157 -591.211 -153.582 1.00986
133700 -513.435 -1143.19 -249.005 -148.116 -53.8081 613.851 -67.4455 1.0112
133800 32.8318 -344.929 209.781 233.644 24.1933 30.3317 -144.533 1.00658
133900 82.0801 -734.408 429.782 550.866 57.1926 -470.891 -271.419 1.01141
134000 5.79619 -224.762 152.235 89.9153 115.984 236.194 -431.24 1.00941
134100 -57.8955 -643.265 345.218 124.361 -50.0076 -462.968 139.044 1.02363
134200 4.49113 -495.817 188.304 320.987 -58.2003 110.015 -291.642 1.02324
134300 -155.4 -642.577 273.078 -96.701 71.9052 302.393 -92.9632 1.01368
134400 -192.719 -359.598 -195.616 -22.942 -32.7021 -344.69 179.099 1.00237
134500 -642.181 -1173.09 85.8025 -839.251 -112.315 436.511 -24.6307 0.997973
134600 -201.64 -712.232 179.915 -72.6044 115.611 287.709 385.695 0.998867
134700 -231.803 -216.178 9.02488 -488.256 -146.116 -237.974 -513.318 0.992263
134800 -23.2167 -420.124 114.374 236.099 126.623 31.2517 111.507 0.983545
134900 33.1234 -445.159 258.18 286.349 -88.8992 305.824 241.721 0.989002
135000 -264.582 -500.238 -107.206 -186.302 -494.382 633.436 -116.868 1.0007
135100 -409.925 -277.723 -397.004 -555.049 505.61 480.692 -136.701 0.982676
135200 -57.9346 -212.203 -245.673 284.072 -541.225 -694.099 -85.7613 0.988281
135300 -361.16 -749.593 -454.361 120.474 -43.0432 328.53 -70.6667 1.00794
135400 -63.2195 -347.829 315.159 -156.988 211.933 -69.3257 -113.514 0.987909
135500 -143.551 -688.262 -42.6593 300.267 -42.8246 -161.433 -154.179 1.0207
135600 -119.39 -541.227 247.725 -64.6671 -23.8121 431.783 72.776 1.00144
135700 -341.25 -702.364 -73.2293 -248.157 -17.7647 -542.91 226.132 0.983015
135800 -119.515 -224.733 -214.622 80.8084 147.663 321.778 -101.696 0.994542
135900 -47.3624 -489.514 225.565 121.861 -326.75 -408.3 510.771 1.00287
136000 -54.2584 -368.163 91.6312 113.756 299.58 63.351 148.831 0.990748
136100 198.038 378.545 302.845 -87.2765 -76.5196 -193.865 371.915 1.00984
136200 -154.486 -304.278 -103.258 -55.9226 22.6008 -5.44516 -147.283 1.00033
136300 -294.536 -421.219 -61.8753 -400.515 249.663 -28.8188 406.458 0.992325
136400 -195.901 -146.294 98.7552 -540.165 -617.678 -181.924 257.823 0.984718
136500 -405.758 -840.003 -307.914 -69.3572 295.14 24.2033 -124.732 1.00699
136600 -328.722 -701.138 -147.779 -137.249 458.52 -1016.61 722.028 0.980985
136700 74.5314 -360.048 -439.089 1022.73 -473.372 518.593 52.1635 1.00438
136800 -345.486 -463.653 -262.632 -310.174 478.067 -403.356 -199.19 0.980182
136900 -176.445 -507.48 -176.072 154.216 -140.559 354.666 -243.503 1.00374
137000 -148.178 -221.652 52.728 -275.612 374.46 -17.6153 244.692 0.996522
137100 186.672 -23.5864 483.757 99.8461 -29.1919 111.042 83.5329 1.00836
137200 64.8077 -638.016 206.44 625.999 189.14 85.1187 530.984 0.996658
137300 -126.838 -498.387 -20.8156 138.689 212.383 152.947 -627.855 1.00628
137400 -8.743 -488.622 -242.017 704.41 -575.455 276.612 225.655 1.00513
137500 -260.802 -650.505 10.3812 -142.283 320.611 -830.893 -18.4647 1.00553
137600 -74.1154 -1062.88 16.8228 823.714 -302.392 -182.789 -325.871 0.998165
137700 -252.154 -750.189 234.174 -240.447 245.647 161.136 1057.1 0.983806
137800 211.513 -64.0687 488 210.609 514.286 349.325 -168.241 0.992856
137900 -179.336 -543.682 -186.49 192.162 -39.9897 -193.177 -99.3418 1.00165
138000 -58.4989 -333.216 464.118 -306.399 -136.141 243.638 -27.4816 0.994505
138100 -284.609 -926.258 -9.45808 81.8896 36.3785 382.103 -206.915 0.997023
138200 -182.884 -624.116 34.4578 41.0045 175.824 107.643 32.9509 0.978111
138300 -47.1442 -629.772 42.7364 445.603 -93.6523 -506.756 -215.466 0.980103
138400 -38.4237 -742.562 198.682 428.608 -644.015 386.119 100.021 1.00151
138500 134.976 -343.549 290.303 458.172 -11.9165 -338.674 9.6678 1.01629
138600 -198.553 -670.682 -140.648 215.672 -226.102 1036.72 -312.463 0.991637
138700 -216.046 -467.101 210.239 -391.276 -7.25233 -592.718 387.188 0.996203
138800 -409.253 -880.566 -237.666 -109.527 -147.112 156.38 -69.5635 0.994611
138900 -269.159 -386.233 -321.184 -100.06 -103.034 -82.0797 792.675 0.989752
139000 92.5907 -521.822 778.949 20.6447 251.892 319.099 -837.256 0.989855
139100 -43.8948 -542.437 51.6201 359.132 -508.501 -9.56955 868.979 1.00192
139200 -297.96 -671.014 244.714 -467.58 572.339 327.822 -456.885 1.02299
139300 -365.023 -603.807 -436.012 -55.2498 -134.725 -2.42914 504.252 1.00217
139400 -244.668 -363.54 -337.344 -33.1195 136.301 116.279 -392.368 1.01422
139500 -622.057 -1393.64 -185.441 -287.089 -425.402 229.412 670.302 1.00773
139600 -248.605 -712.035 360.402 -394.183 621.108 -310.536 -88.8704 1.00419
139700 -242.866 -521.314 14.9144 -222.197 -460.918 208.031 437.245 1.00754
139800 197.714 -94.0333 690.207 -3.03218 376.142 38.7251 180.115 0.99498
139900 -319.436 -1104.57 -302.086 448.352 -760.465 -116.449 -666.376 1.00393
140000 219.119 -106.716 417.874 346.198 634.121 -23.0975 -76.5836 0.990079
140100 -132.585 -631.895 281.835 -47.6935 186.79 276.503 -206.636 0.980519
140200 -372.97 -663.314 -220.651 -234.943 -554.151 92.0919 -13.3805 0.980177
140300 -31.8055 -645.052 -2.25418 551.889 722.606 39.7664 -336.121 0.991359
140400 54.9994 -482.381 509.603 137.776 -738.893 372.765 -481.745 0.989023
140500 -669.832 -1022.06 -95.3053 -892.131 477.605 340.785 775.519 0.985658
140600 138.288 -299.987 311.351 403.499 289.25 91.2702 -218.834 0.998569
140700 41.0827 -741.133 890.431 -26.0499 -485.759 -347.922 471.681 1.00614
140800 -110.923 -281.291 -433.32 381.843 222.206 773.59 203.443 1.01368
140900 -28.4739 -593.957 -90.8429 599.378 -233.575 50.1457 349.312 1.01006
141000 -149.405 -252.53 -163.52 -32.1641 184.348 222.114 -21.5268 0.999132
141100 250.102 3.3173 41.2823 705.705 61.8364 401.837 386.035 1.01318
141200 -184.493 -425.666 -194.303 66.4901 -234.698 -35.3431 -895.468 1.00015
141300 41.4421 -291.022 -219.229 634.578 -70.7831 179.914 584.799 0.997028
141400 -269.691 -753.47 -237.955 182.353 375.808 151.344 -617.183 0.998087
141500 -178.284 -716.039 -214.141 395.328 -58.8568 -14.365 677.846 0.991941
141600 -397.679 -521.031 -328.149 -343.856 148.508 -274.472 -567.447 0.997222
141700 196.823 187.378 249.463 153.627 128.358 493.885 -567.121 1.00928
141800 -104.985 -419.237 152.438 -48.1553 924.609 -515.203 270.739 1.00178
141900 -173.266 -494.012 -26.0818 0.296371 383.033 537.153 -361.184 0.980168
142000 -60.3233 -448.525 148.249 119.306 -16.0571 -232.411 65.0765 0.989068
142100 -386.546 -527.912 71.1395 -702.865 -151.806 -407.229 -109.876 0.988438
142200 -98.5871 194.626 47.3051 -537.693 -134.225 264.032 265.272 1.00845
142300 -64.4766 -625.24 163.296 268.513 -510.948 -425.327 48.5001 0.989421
142400 10.4177 -467.044 223.585 274.713 288.555 321.829 269.258 1.00004
142500 -164.872 -571.225 500.186 -423.577 -306.111 4.79706 -83.4944 0.999119
142600 143.94 -201.077 244.588 388.309 205.704 89.4294 60.388 1.01212
142700 -232.343 -329.397 94.7121 -462.343 -390.248 -11.78 -20.4311 0.994545
142800 4.07633 -403.922 12.4865 403.664 496.774 -26.9045 -227.478 1.00648
142900 -257.361 -268.581 -474.117 -29.3841 -558.785 -103.407 -0.906231 0.983113
143000 128.786 157.024 301.316 -71.982 -433.858 -285.419 -267.907 1.00945
143100 -310.46 -1022.13 -252.748 343.502 684.931 260.364 -266.571 1.01147
143200 -134.986 -408.861 -393.227 397.131 -414.987 -334.041 523.293 0.980379
143300 30.3091 -387.959 344.298 134.588 -5.61675 439.501 244.789 0.977666
143400 104.698 -466.41 187.868 592.634 122.121 -273.071 209.961 1.02455
143500 148.349 -142.065 473.977 113.136 -31.9191 398.676 -441.662 1.00591
143600 -20.0826 -474.584 -573.375 987.712 428.908 -433.98 344.529 0.991086
143700 -47.7827 -534.795 429.703 -38.2558 79.5559 -20.1665 -26.0011 0.980606
143800 -241.869 -715.07 -89.8748 79.3369 -250.783 94.5513 76.9173 1.00134
143900 -468.678 -759.239 -191.485 -455.312 553.456 277.206 -57.9228 1.00272
144000 -403.405 -1019.15 -151.736 -39.3343 -110.602 93.3948 -177.27 1.00973
144100 -192.387 -530.358 304.988 -351.79 409.479 -142.164 795.74 1.00145
144200 0.0328219 -409.445 -80.2597 489.803 -476.871 381.242 -500.659 1.00724
144300 -343.138 -677.912 243.739 -595.242 -210.871 323.045 -70.3643 0.987184
144400 -167.175 -298.11 -101.822 -101.592 -23.9376 366.376 -37.7802 0.998777
144500 254.961 -176.231 641.071 300.043 -754.834 -728.378 139.023 0.999896
144600 -195.29 -327.274 -294.877 36.2809 455.029 134.173 -211.5 0.993135
144700 248.996 -349.427 707.862 388.555 353.934 -159.807 -250.411 1.00771
144800 -242.348 -120.494 -202.828 -403.722 -427.634 300.226 -93.1835 0.995528
144900 20.3213 -450.338 47.2322 464.07 474.048 -58.5972 -91.47 1.00961
145000 -143.854 -509.57 -361.715 439.721 206.466 479.048 46.0458 0.987224
145100 -18.3023 -486.371 143.883 287.58 305.499 -464.021 130.662 1.01716
145200 -192.781 -875.35 -321.57 618.578 -353.765 277.75 -113.424 0.99963
145300 -444.796 -933.302 143.274 -544.362 165.112 261.506 471.354 0.992492
145400 -266.624 -862.07 -181.241 243.44 206.958 -314.035 400.742 0.990183
145500 7.41786 -502.568 190.083 334.739 -110.917 350.204 49.3853 0.990075
145600 -134.811 -791.64 238.09 149.117 302.79 -6.13507 -180.495 0.997024
145700 -307.095 -584.814 76.6275 -413.1 -368.371 -72.2169 -419.939 1.00002
145800 -196.61 -681.231 -202.037 293.438 25.3701 803.763 79.5843 0.998884
145900 -209.949 -158.502 -211.763 -259.581 334.44 -479.724 -85.5474 1.00994
146000 -233.312 -471.298 -201.898 -26.7407 -55.5897 334.418 372.288 1.00912
146100 -341.617 -733.3 -60.3206 -231.229 445.984 -242.666 -324.717 0.999361
146200 76.3016 -462.085 568.643 122.347 -335.897 -182.863 118.568 1.00408
146300 86.2643 -271.23 -37.4686 567.492 242.943 -36.3925 -824.518 1.00423
146400 150.996 -302.173 872.831 -117.671 559.663 -75.0822 46.1056 0.985217
146500 32.5757 -137.871 -1.12841 236.726 -534.83 637.072 -177.267 1.0077
146600 -242.378 -757.866 457.26 -426.527 692.8 -216.33 58.1387 1.00891
146700 -259.224 -353.427 -592.832 168.587 -640.734 102.843 -81.9077 0.999278
146800 40.8587 -83.8947 524.987 -318.516 747.208 -139.54 -40.4626 0.996819
146900 -351.811 -607.805 -162.234 -285.394 -387.449 201.101 509.273 0.995885
147000 -209.057 -135.67 -724.376 232.876 287.019 143.744 387.952 1.00071
147100 -61.9223 -895.337 614.403 95.1671 592.131 847.374 91.4266 0.996592
147200 -26.3406 -213.323 391.016 -256.715 27.8156 -671.395 106.685 1.00596
147300 -189.715 -739.754 199.356 -28.748 -292.415 412.701 -161.072 0.98783
147400 -42.3192 -213.647 221.53 -134.841 -1032.8 -182.229 -504.216 1.00338
147500 -615.897 -759.921 -326.398 -761.371 807.439 -121.209 627.784 1.00211
147600 -365.853 -790.047 -315.156 7.64162 -225.334 5.68569 177.437 1.005
147700 -206.761 -302.883 56.6652 -374.064 -21.0035 -112.688 34.2804 1.00234
147800 41.5545 -934.489 548.125 511.027 -244.341 -51.0714 -19.5619 0.989839
147900 -188.558 -340.987 123.632 -348.319 -114.892 -461.79 13.4254 0.985529
148000 -150.931 -933.771 293.335 187.644 54.3953 109.197 644.476 0.996496
148100 -129.242 -387.721 371.795 -371.8 -288.796 -146.835 310.822 0.996825
148200 -251.083 -140.665 30.9356 -643.52 200.561 408.403 935.872 0.998881
148300 -228.296 -210.737 -86.0498 -388.101 11.3293 -450.2 -384.673 1.01355
148400 99.6639 -303.768 249.863 352.897 -165.136 471.602 518.34 1.02773
148500 -121.074 -452.061 161.361 -72.5205 82.9935 -342.354 -381.402 1.01609
148600 -39.5619 -645.977 318.566 208.726 30.2225 821.558 79.9291 1.01713
148700 -335.706 -244.333 -488.689 -274.097 108.352 -804.705 281.451 0.996974
148800 -15.8129 -313.317 -35.1034 300.981 -324.538 434.48 -134.289 1.00381
148900 -407.639 -411.281 -484.635 -327.001 258.601 174.86 265.96 0.986799
149000 93.4646 -443.574 385.482 338.486 337.396 234.96 -246.918 1.0017
149100 -74.1546 -573.879 370.99 -19.5743 -422.898 -140.791 287.692 1.00633
149200 67.7541 -313.942 -38.4767 555.681 -107.579 -233.9 -348.073 0.99834
149300 -413.142 -1043.57 -202.785 6.92307 -271.945 112.89 316.057 1.00043
149400 80.5858 -61.4691 -167.26 470.487 -112.322 -1005.38 -292.165 0.997375
149500 -407.677 -1173.66 -229.492 180.121 -655.78 447.401 29.1096 0.99771
149600 -270.759 -239.112 -571.084 -2.08193 435.382 -720.281 -300.864 0.987619
149700 -133.878 -379.839 206.133 -227.929 -221.056 55.0707 163.907 0.996734
149800 -128.246 -269.727 -274.691 159.68 655.919 194.68 205.625 0.987365
149900 28.8 -743.557 596.603 233.355 -431.65 439.223 -68.6919 1.00178
150000 -210.521 -61.2253 120.271 -690.608 569.228 -976.392 6.33916 0.988939
150100 -411.719 -1089.23 -439.46 293.534 544.445 675.922 192.661 0.974191
150200 -394.933 -990.069 -59.3249 -135.407 45.5132 128.545 -70.4827 1.00298
150300 -301.687 -824.908 -71.7395 -8.41264 599.641 128.485 -29.0772 0.997046
150400 -249.225 -447.493 60.6474 -360.83 -287.191 -233.119 -226.92 1.00996
150500 52.2685 -1034.25 481.123 709.937 202.695 -359.104 -15.9981 1.01588
150600 57.7163 33.7487 68.6231 70.7771 -14.9536 457.855 214.121 1.02007
150700 -96.4022 -624.15 -53.9808 388.924 -643.216 -954.044 182.907 1.01957
150800 -237.659 -457.148 -166.663 -89.165 -353.541 -355.289 64.1252 1.01882
150900 216.182 -315.832 793.587 170.791 -166.259 370.232 74.1194 0.994397
151000 -484.017 -918.401 -825.118 291.469 210.506 -190.975 -384.421 0.984399
151100 -95.3714 -166.808 481.111 -600.418 -251.216 702.614 79.3845 0.984435
151200 -304.581 -638.459 87.3783 -362.664 100.55 -576.067 268.162 0.979733
151300 20.7398 -182.881 56.9122 188.188 -154.768 330.955 -146.634 0.988797
151400 -304.084 -696.515 62.3212 -278.057 222.013 -496.413 -719.976 1.00964
151500 -182.753 -401.277 -186.49 39.5087 -286.064 353.287 -206.202 0.987904
151600 86.1756 -130.001 -93.724 482.251 593.658 -420.057 -75.24 1.00387
151700 -565.252 -1205.47 -339.355 -150.936 -441.213 409.296 -267.288 1.01115
151800 13.6031 80.77 -384.55 344.589 344.094 -190.494 -134.06 0.99874
151900 -257.785 -722.988 10.3255 -60.6917 -328.313 408.385 -371.441 1.00183
152000 -443.525 -864.468 -385.903 -80.2046 272.258 7.23902 -58.6878 1.00385
152100 -404.875 -955.56 83.359 -342.425 -44.16 -712.075 -454.787 0.97715
152200 -195.104 -781.002 307.366 -111.677 -285.754 746.198 413.972 1.00303
152300 109.177 -62.7732 -345.987 736.292 0.751353 -227.245 -5.84124 0.982083
152400 -423.529 -614.325 -470.333 -185.931 -390.45 500.058 681.149 1.01469
152500 -272.03 -382.171 -402 -31.9182 -4.41247 -35.9494 -135.827 1.01051
152600 -190.389 -836.439 -10.8925 276.166 -264.015 41.1096 605.189 1.00969
152700 -182.894 -892.179 10.8414 332.657 552.699 93.671 -660.942 0.992998
152800 -130.061 -525.151 -195.394 330.361 -515.144 -71.3844 135.603 0.990662
152900 -471.195 -548.573 -841.287 -23.7236 620.753 -310.882 163.467 0.978986
153000 -468.307 -380.154 -154.761 -870.007 -605.485 33.628 -86.6678 0.991195
153100 -277.769 -351.537 -343.56 -138.21 360.137 -599.716 -66.4636 0.991443
153200 -34.8454 -679.296 950.336 -375.576 -315.032 354.914 170.875 0.987653
153300 42.9176 -151.29 131.493 148.55 -323.132 -532.456 -154.394 0.995071
153400 -399.057 -659.691 237.315 -774.796 339.119 477.737 -666.15 1.02405
153500 83.0748 -154.737 -330.243 734.204 -40.8892 613.109 188.701 1.0001
153600 -49.6296 -168.626 402.021 -382.284 -53.4438 -439.562 -335.693 0.998294
153700 -3.3744 -114.534 -232.184 336.595 656.913 142.838 256.005 1.01501
153800 43.9363 -421.41 304.152 249.066 -14.3554 -13.2902 -415.314 1.00867
153900 -78.4729 -207.439 24.2936 -52.2738 3.13805 294.584 -115.077 0.980374
154000 -122.17 -791.254 68.0418 356.701 -100.703 -488.11 518.806 0.981757
154100 -30.8641 -231.216 48.6808 89.9429 -357.144 58.1018 -629.506 1.00449
154200 -57.2298 -454.928 330.648 -47.4096 691.637 177.714 612.237 0.982942
154300 -153.772 -753.1 -338.272 630.056 -643.746 503.034 -446.476 0.997442
154400 -236.885 -479.985 -180.962 -49.7081 428.268 79.1359 740.58 1.01731
154500 -70.5059 -500.885 47.8765 241.491 -174.993 59.8211 -264.146 1.02739
154600 -315.789 -557.951 -155.02 -234.397 -169.964 -273.409 -474.375 1.00658
154700 -125.469 -914.241 625.826 -87.9907 341.536 2.10819 328.002 0.994546
154800 -300.868 -503.816 -483.816 85.0292 -352.784 -23.6368 -692.181 0.988876
154900 -363.491 -1139.99 72.3305 -22.8175 963.504 -174.831 478.313 1.01591
155000 -195.217 -511.715 -97.4785 23.5435 -461.335 572.863 -319.246 1.00158
155100 -86.4631 -558.689 479.801 -180.501 219.752 -222.366 287.185 0.996605
155200 -333.553 -876.133 -86.4593 -38.0679 -175.966 415.338 151.173 1.00832
155300 -273.681 -569.749 -503.059 251.766 158.708 -35.8486 -101.994 1.00117
155400 72.0255 -181.61 397.077 0.608887 -300.647 334.658 95.038 0.99503
155500 -81.4127 -99.4431 -440.868 296.073 -270.322 -555.401 -472.41 1.0179
155600 -19.1705 -24.2303 207.401 -240.682 -170.257 -20.0797 95.2765 1.00664
155700 -336.68 -548.615 -279.988 -181.436 1.01152 -159.738 -610.289 1.02183
155800 -340.998 -665.32 -253.164 -104.511 -66.8268 596.747 -138.812 1.00256
155900 141.031 18.1238 185.915 219.055 418.702 -562.541 -559.335 0.982425
156000 -288.156 -739.781 82.3009 -206.987 -375.153 186.524 -144.416 0.994691
156100 288.466 -262.15 706.008 421.54 -753.714 295.956 -246.325 1.01433
156200 -179.45 -485.362 -98.9204 45.9313 1039.57 -68.8796 95.9241 0.981486
156300 -209.866 -273.529 121.714 -477.782 -560.875 207.273 111.046 0.991406
156400 -153.001 -571.011 172.098 -60.0905 309.387 167.866 67.4096 0.987832
156500 100.475 81.0157 169.728 50.6822 -357.177 -595.396 621.708 1.01029
156600 -364.703 -186.334 214.307 -1122.08 -145.183 -233.835 -142.454 1.01408
156700 -225.673 -717.683 -541.053 581.718 181.053 -294.83 705.51 0.997999
156800 80.6095 -344.946 1089.5 -502.73 -8.4404 -354.243 -773.824 1.00074
156900 105.522 -135.616 -246.11 698.292 353.971 -233.667 782.278 0.99009
157000 -28.3419 -289.373 645.687 -441.339 -219.996 -20.1275 -234.972 0.991746
157100 -250.394 18.4859 -982.39 212.72 458.247 -309.563 -104.447 0.996642
157200 -40.6705 -771.222 482.507 166.703 -161.278 285.261 86.9069 1.01355
157300 -75.4323 -627.413 -465.192 866.307 -311.619 233.345 556.301 1.0075
157400 -68.7009 -552.025 458.639 -112.716 -186.19 -20.9287 -174.111 0.993711
157500 0.709208 -105.022 -254.069 361.218 -52.3382 -318.547 278.451 1.01576
157600 10.2061 -205.811 164.122 72.3073 89.3233 -209.963 -431.77 1.02483
157700 94.2282 -328.089 400.093 210.681 596.797 -68.1212 -238.236 0.999044
157800 -113.024 -485.69 38.1451 108.472 -159.658 282.381 358.066 0.998053
157900 -417.515 -1145.21 198.493 -305.832 106.785 -753.77 58.0081 1.00074
158000 14.7947 139.556 249.61 -344.782 120.23 -417.141 47.6851 1.01039
158100 120.516 -367.107 439.613 289.043 30.1723 -86.8543 -71.6009 1.01463
158200 -182.206 -412.367 101.55 -235.8 655.574 163.126 32.1985 1.01535
158300 -175.385 -415.243 -572.061 461.149 -400.963 -262.062 287.832 0.997068
158400 28.0208 -178.882 -236.833 499.777 1029.05 477.881 -337.774 1.00314
158500 -78.3411 -646.449 14.6146 396.811 -591.723 -102.121 233.17 0.992453
158600 -144.2 -342.974 154.887 -244.513 602.606 -19.6593 -810.943 1.01241
158700 51.8112 -201.057 353.118 3.37223 -991.44 175.29 180.959 0.99691
158800 -129.024 -507.626 238.525 -117.971 730.04 -206.595 254.01 1.00877
158900 70.8052 -713.271 322.649 603.038 16.7449 164.517 -543.702 1.02588
159000 -364.49 -1265.2 -380.345 552.08 -140.345 341.491 -178.074 1.00481
159100 -486.86 -704.821 -956.597 200.838 -126.882 322.643 -714.284 1.01393
159200 -236.02 416.32 -858.21 -266.17 119.357 -445.078 303.223 0.989446
159300 10.8263 -356.472 8.98905 379.962 64.3392 569.596 -920.838 0.994597
159400 -514.874 -1143.71 -646.895 245.981 -54.8226 -488.233 383.194 0.987363
159500 130.64 12.8178 139.845 239.257 -268.941 407.337 -187.973 1.00564
159600 16.9806 -169.697 -109.086 329.725 191.416 -386.249 307.234 0.983011
159700 -110.714 -276.595 -291.871 236.324 -403.079 44.5778 -55.6869 1.00681
159800 217.584 -106.224 557.857 201.12 164.593 225.856 -245.921 1.00817
159900 -125.425 -184.49 82.1703 -273.956 -52.5068 76.9824 184.859 1.00091
160000 -297.295 -685.526 147.923 -354.281 -56.995 410.73 -549.468 1.01221
160100 -34.9092 -823.678 487.213 231.737 120.966 -488.322 242.573 1.02272
