50000 461 -0.311065 0.000048 -64.499778 -2.846832 0.020588 -70.346950 
100000 461 -0.311065 0.000048 -64.499778 -4.366676 2.010648 -70.032795 
150000 461 -0.311065 0.000048 -64.499778 -4.315451 2.805362 -69.852308 
200000 461 -0.311065 0.000048 -64.499778 -2.329178 2.024458 -69.834205 
250000 461 -0.311065 0.000048 -64.499778 0.724477 3.256603 -70.433731 
300000 461 -0.311065 0.000048 -64.499778 -2.469850 0.794702 -70.011933 
350000 461 -0.311065 0.000048 -64.499778 1.123840 -2.342413 -69.714828 
400000 461 -0.311065 0.000048 -64.499778 2.662065 -4.099223 -69.065767 
450000 461 -0.311065 0.000048 -64.499778 0.747449 -3.089252 -69.817378 
500000 461 -0.311065 0.000048 -64.499778 1.670418 -5.217668 -69.376795 
550000 461 -0.311065 0.000048 -64.499778 0.800705 -2.669119 -69.613090 
